w,G,lldg,L
0.14666666666666667,1944.4444444444443,0.1,8601.333333333334
0.15333333333333332,1188.888888888889,0.2777777777777778,5810.666666666667
0.12666666666666665,2322.222222222222,0.3,7671.111111111111
0.12,1566.6666666666667,0.12222222222222223,3950.222222222222
0.16,2133.3333333333335,0.23333333333333334,3020.0
0.17333333333333334,2511.1111111111113,0.25555555555555554,10461.777777777777
0.13333333333333333,1000.0,0.2111111111111111,9531.555555555555
0.16666666666666666,1377.7777777777778,0.14444444444444446,11392.0
0.18,1755.5555555555557,0.18888888888888888,6740.88888888889
0.13999999999999999,2700.0,0.16666666666666669,4880.444444444445
