,0,1,2,3,4,5
0,39.472305,9.040555,4.4753723,-6.9339933,-8.209688,19.979877
1,43.45687,10.065209,5.3269405,-7.343949,-9.8375025,21.94748
2,42.4612,9.715011,4.4662127,-7.5765567,-8.311502,21.548733
3,42.791584,9.855425,4.714327,-7.470362,-8.806517,21.687979
4,44.6401,10.417218,4.935413,-7.5705504,-9.473156,22.63581
5,36.397438,8.360599,4.4018893,-6.27447,-8.013013,18.380919
6,54.400146,12.731372,0.22052374,-10.894471,-3.5871472,28.646238
7,53.186993,12.325948,2.6140978,-10.120545,-6.5384517,27.535337
8,44.72174,10.41258,5.2846336,-7.5261583,-9.938572,22.621532
9,40.581646,9.766127,3.6550992,-6.6480155,-8.009327,20.750727
10,50.48267,11.845523,5.643082,-8.442704,-10.926988,25.59616
11,48.411217,11.208746,0.61697316,-9.760799,-3.5378053,25.401096
12,41.30308,9.289722,3.6200376,-7.8344564,-6.7380757,21.063185
13,49.527798,11.367269,1.7503519,-9.808548,-4.950979,25.76279
14,52.236248,12.12045,1.4830489,-10.243815,-4.975933,27.253035
15,54.451675,13.21458,-1.7091123,-10.949172,-1.5287027,29.313953
16,48.378906,11.112977,2.6725047,-9.273896,-6.163404,24.980865
17,46.076252,10.769871,5.151027,-7.770252,-9.892258,23.356447
18,49.898212,11.727691,-0.50780636,-10.126056,-2.4215105,26.41674
19,47.010834,10.796278,0.7635553,-9.570347,-3.492666,24.626923
20,42.49559,9.526718,3.4709811,-8.183946,-6.5079846,21.709482
21,36.488853,8.402436,4.6331377,-6.1944523,-8.392515,18.394592
22,50.50336,11.863611,5.597086,-8.438517,-10.886368,25.615381
23,46.036648,10.558985,1.3234552,-9.219156,-4.1778283,24.004683
24,43.243565,10.066781,5.1132917,-7.278385,-9.612114,21.873014
25,46.810127,10.981322,5.2346187,-7.829938,-10.12914,23.732462
26,54.778755,12.745698,1.8579553,-10.594688,-5.6953225,28.52434
27,55.157936,12.84361,1.5769585,-10.741527,-5.3534093,28.779161
28,47.194675,10.789401,4.0933127,-8.68676,-7.970171,24.092224
29,40.119278,9.301185,4.6460824,-6.8395753,-8.700076,20.30283
30,44.357586,10.361733,5.1157117,-7.4451814,-9.737166,22.459202
31,44.091103,10.279667,5.1555157,-7.411811,-9.741317,22.310564
32,43.932293,10.295078,4.9572897,-7.3557,-9.564874,22.270784
33,55.372597,12.8546715,5.538947,-9.669955,-10.78018,28.166338
34,44.67639,10.085663,4.081658,-8.36841,-7.596128,22.760012
35,41.894337,9.692111,5.1701455,-7.0861683,-9.507846,21.1496
36,39.008205,9.025907,4.803199,-6.5972314,-8.840872,19.694183
37,39.179035,9.090601,4.73176,-6.6115074,-8.791496,19.79658
38,52.145424,12.001308,3.8159924,-9.676685,-7.95686,26.747736
39,51.169132,11.825222,4.5261436,-9.190424,-9.010765,26.119528
40,48.885994,11.384972,0.35058913,-9.832352,-3.327425,25.708477
41,45.515488,10.379142,2.290867,-8.914262,-5.3522134,23.538649
42,38.381416,8.895483,4.669039,-6.4826374,-8.639994,19.386353
43,54.27679,12.486514,4.5397754,-9.915822,-9.072086,27.742592
44,44.70476,10.185299,4.431462,-8.124614,-8.278638,22.727264
45,45.26169,10.270279,3.0954933,-8.699065,-6.3372545,23.245663
46,44.490883,10.3955345,5.123365,-7.466139,-9.763141,22.529284
47,49.007565,11.467879,5.589601,-8.214153,-10.707681,24.826971
48,48.914463,11.449015,5.5692134,-8.196939,-10.680449,24.782263
49,51.44247,11.843476,3.2424102,-9.697767,-7.147543,26.487959
50,40.211796,9.31276,4.923057,-6.795901,-9.087687,20.30701
51,47.47869,11.121441,5.370778,-7.951353,-10.32982,24.059877
52,49.846416,11.49945,2.2332566,-9.633739,-5.7357206,25.84303
53,42.151524,9.83725,4.8910985,-7.0802836,-9.279788,21.336718
54,51.31227,11.994683,5.56605,-8.702654,-10.771388,26.038465
55,55.185787,14.074042,-3.233125,-10.79583,-0.28277907,30.413597
56,53.157955,12.936906,-1.6972876,-10.630949,-1.5344597,28.618082
57,43.886723,10.321132,4.8204412,-7.327031,-9.437515,22.273174
58,39.478786,9.133364,4.569732,-6.7617426,-8.521194,19.977112
59,50.40319,11.530055,3.948904,-9.388246,-7.917727,25.799711
60,39.470055,9.17631,4.7091875,-6.6506906,-8.820755,19.959515
61,42.563923,9.990268,4.743841,-7.117564,-9.213723,21.58846
62,54.117134,12.682417,5.769613,-9.156787,-11.276438,27.481503
63,42.299873,9.541887,4.1478777,-7.8527775,-7.5858192,21.502428
64,50.01601,11.707785,5.5057044,-8.433456,-10.645937,25.369198
65,47.97519,11.245336,5.4007373,-8.030154,-10.415238,24.316742
66,38.228764,8.859347,4.655823,-6.4575067,-8.616787,19.310186
67,51.2602,11.825336,2.1653807,-9.947658,-5.718777,26.601175
68,50.792892,11.889568,5.3689785,-8.628659,-10.492522,25.7997
69,50.65201,11.723701,5.180649,-8.867682,-9.95888,25.743046
70,42.527298,9.831198,5.2783356,-7.1976013,-9.684543,21.465185
71,40.544342,9.412547,4.7915397,-6.86403,-8.954495,20.50343
72,44.019356,9.97187,4.0628405,-8.177872,-7.610444,22.422098
73,46.370758,10.793575,5.493628,-7.8053555,-10.320461,23.453663
74,40.837055,9.207032,4.0501304,-7.575308,-7.380402,20.750893
75,39.243137,9.073316,4.859652,-6.641093,-8.92359,19.808954
76,46.65086,10.663804,4.64791,-8.415959,-8.739329,23.71628
77,51.861187,11.968793,2.0875332,-10.088004,-5.654292,26.933317
78,52.91414,12.1656885,4.4709535,-9.665283,-8.895572,27.038025
79,44.65596,10.317351,4.9056816,-7.7484426,-9.231716,22.638445
80,47.907692,10.966602,2.1472218,-9.396057,-5.3526545,24.830208
81,52.682915,12.191681,4.5312095,-9.473099,-9.123813,26.914907
82,50.435932,11.691713,0.7460609,-10.115618,-3.8520005,26.444775
83,37.44313,8.63946,4.696719,-6.346684,-8.566634,18.888561
